2019-06-20 14:33:46.930 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:33:46.930 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:33:46.930 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:33:46.930 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:33:46.931 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:33:46.931 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:33:46.931 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:33:46.931 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:33:46.931 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:33:48.143 [http-nio-80-exec-4] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:35:16.993 [http-nio-80-exec-5] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:46:21.555 [http-nio-80-exec-10] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:46:41.519 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Starting Xu7xWebApplication on 29PF5V6RCXNKKYB with PID 6132 (D:\xucode\my\xu7x\xu7x-web\target\classes started by Administrator in D:\xucode\my\xu7x\xu7x-web)
2019-06-20 14:46:41.525 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - The following profiles are active: linux
2019-06-20 14:46:46.350 [restartedMain] INFO  com.xu.xu7x.Xu7xWebApplication - Started Xu7xWebApplication in 5.336 seconds (JVM running for 7.764)
2019-06-20 14:46:56.157 [http-nio-80-exec-4] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:46:56.161 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:46:56.161 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:46:56.161 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:46:56.161 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:46:56.161 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:46:56.161 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:46:56.161 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:46:56.162 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:46:56.162 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:46:57.573 [http-nio-80-exec-5] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:47:39.361 [http-nio-80-exec-8] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:47:39.363 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:47:39.363 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:47:39.363 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:47:39.363 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:47:39.363 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:47:39.363 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:47:39.363 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:47:39.363 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:47:39.364 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:47:40.540 [http-nio-80-exec-9] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:48:42.641 [http-nio-80-exec-1] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:48:42.643 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:48:42.643 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:48:42.643 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:48:42.644 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:48:42.644 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:48:42.644 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:48:42.644 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:48:42.644 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:48:42.644 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:48:44.876 [http-nio-80-exec-3] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:49:25.421 [http-nio-80-exec-4] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:49:25.423 [http-nio-80-exec-4] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:49:27.108 [http-nio-80-exec-5] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:49:34.513 [http-nio-80-exec-8] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:49:34.515 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:49:34.515 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:49:34.516 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:49:34.516 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:49:34.516 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:49:34.516 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:49:34.516 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:49:34.516 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:49:34.516 [http-nio-80-exec-8] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:49:35.980 [http-nio-80-exec-9] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:52:46.874 [http-nio-80-exec-3] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:52:46.875 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:52:46.876 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:52:46.876 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:52:46.876 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:52:46.876 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:52:46.876 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:52:46.876 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:52:46.876 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:52:46.876 [http-nio-80-exec-3] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:52:48.230 [http-nio-80-exec-4] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:53:51.033 [http-nio-80-exec-7] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:53:51.034 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:53:51.035 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:53:51.035 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:53:51.035 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:53:51.035 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:53:51.035 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:53:51.035 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:53:51.035 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:53:51.035 [http-nio-80-exec-7] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:53:52.203 [http-nio-80-exec-8] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:56:00.073 [http-nio-80-exec-1] INFO  c.xu.xu7x.controller.PostController - user = xuhongda
2019-06-20 14:56:00.074 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = #标题#
2019-06-20 14:56:00.075 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = @作者@
2019-06-20 14:56:00.075 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##段落##
2019-06-20 14:56:00.075 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:56:00.075 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = 
2019-06-20 14:56:00.075 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = #故乡的秋#
2019-06-20 14:56:00.075 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = @xuhongda@
2019-06-20 14:56:00.075 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - text = ##我已经离开故乡好几年##
2019-06-20 14:56:00.075 [http-nio-80-exec-1] INFO  com.xu.xu7x.service.PostServiceImpl - stringBuffer = #标题#@作者@##段落###故乡的秋#@xuhongda@##我已经离开故乡好几年##
2019-06-20 14:56:01.283 [http-nio-80-exec-3] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:57:22.621 [http-nio-80-exec-5] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
2019-06-20 14:58:41.624 [http-nio-80-exec-8] INFO  c.xu.xu7x.controller.IndexController - remoteHost = 127.0.0.1
